statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,default_profile_image,geo_enabled,profile_use_background_image,utc_offset,is_translator,protected,verified,followers_friends_ratio,friends_followers_ratio,friends_followers_gap,account_age_days,tweets_per_day,statuses_followers_ratio,statuses_friends_ratio,favourites_statuses_ratio,has_description,description_length,description_has_spam_keyword,description_has_url,name_length,screen_name_length,screen_name_digit_ratio,screen_name_has_digits,screen_name_has_spam_keyword,spam_keyword_count,label
2177,208,332,265,1,,,1.0,,,,,,0.6246246246246246,1.5885167464114833,124,689.0,3.1596516690856316,10.416267942583731,6.5375375375375375,0.1216712580348944,1,21,0,0,15,8,0.5,1,0,0,0
2660,330,485,3972,5,1.0,,1.0,1.0,32400.0,,,,0.6790123456790124,1.4652567975830815,155,353.0,7.5354107648725215,8.036253776435045,5.473251028806584,1.4926719278466742,1,48,0,0,5,8,0.5,1,0,0,0
1254,166,177,1185,0,,,,1.0,-14400.0,,,,0.9325842696629213,1.0598802395209581,11,1457.0,0.8606726149622512,7.508982035928144,7.044943820224719,0.9442231075697212,1,34,0,0,8,9,0.2222222222222222,1,0,0,0
202968,2248,981,60304,101,,,1.0,1.0,-7200.0,,,,2.2892057026476578,0.4361938639395287,-1267,1686.0,120.38434163701068,90.24811027123165,206.68839103869655,0.29710941079672265,1,58,0,0,17,11,0.0,0,0,0,0
82,21,79,5,0,1.0,,,1.0,,,,,0.2625,3.590909090909091,58,84.0,0.9761904761904762,3.727272727272727,1.025,0.060240963855421686,1,13,0,0,8,15,0.5333333333333333,1,0,0,0
12915,641,1066,1568,7,,,,,-18000.0,,,,0.6007497656982193,1.6604361370716512,425,549.0,23.524590163934427,20.11682242990654,12.104029990627929,0.12139981418395789,1,151,0,0,2,12,0.3333333333333333,1,0,0,0
13676,1042,2000,19012,7,1.0,,1.0,1.0,,,,,0.5207396301849075,1.9175455417066156,958,569.0,24.035149384885763,13.112176414189838,6.834582708645677,1.3900709219858156,1,37,1,0,9,15,0.06666666666666667,1,0,1,0
61294,561,118,590,4,,,1.0,1.0,-14400.0,,,,4.714285714285714,0.2099644128113879,-443,1529.0,40.08763897972531,109.06405693950178,515.0756302521008,0.009625581205644832,1,152,0,0,7,15,0.06666666666666667,1,0,0,0
4854,337,256,1407,4,1.0,,1.0,1.0,,,,,1.311284046692607,0.757396449704142,-81,602.0,8.06312292358804,14.36094674556213,18.88715953307393,0.2898043254376931,0,0,0,0,13,13,0.07692307692307693,1,0,0,0
2408,421,338,2227,5,1.0,,1.0,1.0,28800.0,,,,1.2418879056047198,0.8009478672985783,-83,753.0,3.197875166002656,5.706161137440758,7.103244837758112,0.9244499792444998,1,77,0,0,12,8,0.125,1,0,0,0
24581,335,276,10570,4,,,,,-39600.0,,,,1.2093862815884477,0.8214285714285714,-59,1313.0,18.721249047981722,73.1577380952381,88.74007220216606,0.4299894231551542,1,13,0,0,13,15,0.13333333333333333,1,0,0,0
2132,232,225,101,56,,,,1.0,-18000.0,,,,1.0265486725663717,0.9656652360515021,-7,2203.0,0.9677712210621879,9.150214592274677,9.43362831858407,0.0473511486169714,1,119,0,0,20,13,0.07692307692307693,1,0,0,0
10354,1948,2096,3,88,,,,1.0,-25200.0,,,,0.9289461134954697,1.0754232939969215,148,2255.0,4.591574279379158,5.312467932272961,4.937529804482594,0.0002897151134717528,1,130,0,0,13,7,0.2857142857142857,1,0,0,0
18484,271,216,8487,0,,,1.0,1.0,28800.0,,,,1.2488479262672811,0.7941176470588235,-55,672.0,27.50595238095238,67.95588235294117,85.17972350230414,0.459129023532594,1,22,0,0,10,6,0.16666666666666666,1,0,0,0
88,16,74,397,0,,,1.0,1.0,-25200.0,,,,0.21333333333333335,4.352941176470588,58,1367.0,0.06437454279444038,5.176470588235294,1.1733333333333333,4.46067415730337,1,131,0,0,8,9,0.3333333333333333,1,0,0,0
2418,1190,355,1092,11,,,,1.0,28800.0,,,,3.342696629213483,0.2980688497061293,-835,951.0,2.5425867507886437,2.0302267002518892,6.792134831460674,0.451426209177346,1,49,0,0,6,8,0.25,1,0,0,0
10839,7842,7836,8329,34,,,1.0,1.0,43200.0,,,,1.000637999234401,0.9991074843809766,-6,1814.0,5.975192943770672,1.3819966849419865,1.3830547403343116,0.7683579335793358,1,115,0,0,14,11,0.0,0,0,0,0
4774,552,787,4029,11,1.0,,,1.0,,,,,0.700507614213198,1.423146473779385,235,467.0,10.222698072805139,8.632911392405063,6.058375634517766,0.8437696335078534,1,21,0,0,20,13,0.07692307692307693,1,0,0,0
36,223,166,864,2,,,,1.0,-25200.0,,,,1.3353293413173652,0.7410714285714286,-57,444.0,0.08108108108108109,0.16071428571428573,0.2155688622754491,23.35135135135135,1,95,0,0,15,11,0.09090909090909091,1,0,0,0
9412,303,325,7304,2,,,1.0,1.0,,,,,0.9294478527607362,1.069078947368421,22,1602.0,5.8751560549313355,30.960526315789473,28.87116564417178,0.7759481568044194,1,82,0,0,14,8,0.375,1,0,0,0
55052,1978,197,7274,7,1.0,,1.0,1.0,-28800.0,,,,9.98989898989899,0.09954522486104093,-1781,1322.0,41.642965204236006,27.81808994441637,278.04040404040404,0.13212722285797324,1,80,0,0,16,13,0.3076923076923077,1,0,0,0
69809,1605,969,12583,2,,,1.0,1.0,-18000.0,,,,1.6546391752577319,0.6033623910336239,-636,2129.0,32.789572569281354,43.46762141967621,71.9680412371134,0.18024638303967913,1,40,0,0,13,10,0.3,1,0,0,0
7207,212,150,1877,0,1.0,,1.0,1.0,,,,,1.403973509933775,0.704225352112676,-62,631.0,11.421553090332806,33.83568075117371,47.728476821192054,0.2604051054384018,0,0,0,0,5,8,0.375,1,0,0,0
16677,1206,49,7008,6,1.0,,1.0,1.0,19800.0,,,,24.12,0.04059652029826015,-1157,1402.0,11.89514978601997,13.816901408450704,333.54,0.4201942678978295,1,63,0,0,16,5,0.4,1,0,0,0
24163,435,320,676,1,,,,1.0,7200.0,,,,1.355140186915888,0.7339449541284404,-115,1075.0,22.47720930232558,55.419724770642205,75.27414330218069,0.027975500744909784,1,9,0,0,3,6,0.16666666666666666,1,0,0,0
45750,7644,359,54926,46,,,1.0,1.0,-25200.0,,,,21.233333333333334,0.04695879659908437,-7285,396.0,115.53030303030303,5.984303466317855,127.08333333333333,1.2005420646543246,1,50,0,0,4,6,0.3333333333333333,1,0,0,0
1203,182,117,136,0,,,1.0,1.0,28800.0,,,,1.5423728813559323,0.639344262295082,-65,455.0,2.643956043956044,6.573770491803279,10.194915254237289,0.11295681063122924,1,15,0,0,6,14,0.0,0,0,0,0
274989,9815,2190,40114,38,,,,,-18000.0,,,,4.479689639434048,0.22310513447432762,-7625,1515.0,181.51089108910892,28.014364303178485,125.50844363304427,0.14587439543256117,1,15,0,0,4,6,0.0,0,0,0,0
11334,349,348,2465,4,,,,1.0,7200.0,,,,1.0,0.9942857142857143,-1,1599.0,7.088180112570356,32.38285714285714,32.4756446991404,0.21746801940891045,1,85,0,0,5,10,0.0,0,0,0,0
72102,726,28,165,23,,,1.0,1.0,-14400.0,,,,25.03448275862069,0.03851444291609354,-698,1171.0,61.57301451750641,99.17744154057772,2486.2758620689656,0.0022883929933567256,1,110,0,0,20,9,0.0,0,0,0,0
15525,879,667,153,5,,,,1.0,-18000.0,,,,1.3158682634730539,0.7579545454545454,-212,2117.0,7.333490788852149,17.642045454545453,23.241017964071855,0.009854437717377302,1,22,0,0,5,12,0.08333333333333333,1,0,0,0
31248,3205,2377,3650,282,,,1.0,1.0,-28800.0,,,,1.347771236333053,0.7414223331253899,-828,2014.0,15.515392254220457,9.746724890829695,13.140454163162321,0.11680373771960703,1,115,0,0,12,8,0.0,0,0,0,0
105025,543,327,49956,1,,,1.0,1.0,-25200.0,,,,1.6554878048780488,0.6011029411764706,-216,1752.0,59.94577625570776,193.06066176470588,320.1981707317073,0.47565364766819646,0,0,0,0,1,11,0.0,0,0,0,0
54,10,91,14,0,1.0,,,1.0,,,,,0.10869565217391304,8.272727272727273,81,1610.0,0.03354037267080745,4.909090909090909,0.5869565217391305,0.2545454545454545,0,0,0,0,12,6,0.3333333333333333,1,0,0,0
371,90,147,363,0,1.0,,1.0,1.0,,,,,0.6081081081081081,1.6153846153846154,57,234.0,1.5854700854700854,4.076923076923077,2.5067567567567566,0.9758064516129032,1,18,0,0,2,9,0.0,0,0,0,0
2582,223,495,1668,3,1.0,,,1.0,-16200.0,,,,0.4495967741935484,2.2098214285714284,272,350.0,7.377142857142857,11.526785714285714,5.205645161290323,0.645760743321719,0,0,0,0,16,9,0.0,0,0,0,0
